000,0.014792,0.032267
001,0.024194,0.040904
002,0.034684,0.050492
003,0.044288,0.060458
004,0.056180,0.073784
005,0.067725,0.084322
006,0.079545,0.094337
007,0.088068,0.105737
008,0.100129,0.116879
009,0.112682,0.127893
010,0.126347,0.139583
011,0.137497,0.151838
012,0.152732,0.167637
013,0.167252,0.179899
014,0.179771,0.193225
015,0.192450,0.205618
016,0.206904,0.219130
017,0.223005,0.232955
018,0.233953,0.247296
019,0.248747,0.261863
020,0.270339,0.281691
021,0.286219,0.297055
022,0.302791,0.313209
023,0.320081,0.329935
024,0.337637,0.347063
025,0.354330,0.364498
026,0.372998,0.382980
027,0.396146,0.406178
028,0.416737,0.418745
029,0.430646,0.439138
030,0.451739,0.459385
031,0.474660,0.481202
032,0.498968,0.503745
033,0.520664,0.526489
034,0.545229,0.550748
035,0.576312,0.584450
036,0.605736,0.610721
037,0.634846,0.637610
038,0.664447,0.666639
039,0.691026,0.695853
040,0.728756,0.727733
041,0.759670,0.760186
042,0.795580,0.794725
043,0.844679,0.842439
044,0.882465,0.880741
045,0.925851,0.920936
046,0.966400,0.963903
047,1.013821,1.008844
048,1.060119,1.055889
049,1.114607,1.106606
050,1.165034,1.160023
051,1.237603,1.232209
052,1.298190,1.288168
053,1.364078,1.352678
054,1.434620,1.419284
055,1.501819,1.489766
056,1.575732,1.563421
057,1.652476,1.639028
058,1.759702,1.742662
059,1.837458,1.820112
060,1.909519,1.896975
061,1.985808,1.972483
062,2.056168,2.044494
063,2.117723,2.106912
064,2.187971,2.171455
065,2.246987,2.231985
066,2.325929,2.303459
067,2.380313,2.343952
068,2.431611,2.371248
069,2.475819,2.389594
070,2.527044,2.403355
071,2.564152,2.412781
072,2.607192,2.421676
073,2.648056,2.428612
074,2.695854,2.435477
075,2.733799,2.440190
076,2.767041,2.443832
077,2.799083,2.447328
078,2.833469,2.450310
079,2.858010,2.452759
080,2.882429,2.455554
081,2.918566,2.458439
082,2.946926,2.460106
083,2.970798,2.462056
084,2.997128,2.463805
085,3.020799,2.465190
086,3.043867,2.466447
087,3.065772,2.468026
088,3.086648,2.469468
089,3.114311,2.471007
090,3.135480,2.471910
091,3.156065,2.472804
092,3.175305,2.473901
093,3.194287,2.475390
094,3.211109,2.476116
095,3.230583,2.477705
096,3.248566,2.477914
097,3.269473,2.478446
098,3.287391,2.478993
099,3.298735,2.479952
100,3.300000,2.480339
