X--Trace 1::[transient: TIME],Y--Trace 1::[I_col: I(Q1:C)],,X--Trace 2::[transient: TIME],Y--Trace 2::[I_base: I(Q1:B)]
0,1.8632575482513403e-11,,0,-7.3714913379972e-12
1.0000000000000001e-11,1.8632535514484515e-11,,1.0000000000000001e-11,-7.368892028423163e-12
2.0000000000000002e-11,1.8632397846829463e-11,,2.0000000000000002e-11,-7.36369390898114e-12
4.0000000000000004e-11,1.8631940434943318e-11,,4.0000000000000004e-11,-7.348100268976193e-12
8.000000000000001e-11,1.862979548405974e-11,,8.000000000000001e-11,-7.285732706837448e-12
1.6000000000000002e-10,1.8615664565402312e-11,,1.6000000000000002e-10,-7.036333681644735e-12
3.2000000000000003e-10,1.852077158304155e-11,,3.2000000000000003e-10,-6.0392714483606504e-12
6.400000000000001e-10,1.7927259676753237e-11,,6.400000000000001e-10,-2.055027236172774e-12
1e-9,1.6453758355794434e-11,,1e-9,5.5933074184486236e-12
1.064e-9,1.608345456816096e-11,,1.064e-9,7.249922208317015e-12
1.192e-9,1.5299614908315106e-11,,1.192e-9,1.0561681894298039e-11
1.448e-9,1.3545911059509308e-11,,1.448e-9,1.7176607667830522e-11
1.96e-9,9.702096903652091e-12,,1.96e-9,3.0373381212820797e-11
2.984e-9,1.7124435203186294e-12,,2.984e-9,5.663828894101525e-11
5.032e-9,-1.419057760188025e-11,,5.032e-9,1.0866153225930006e-10
9.128e-9,-4.536476083671914e-11,,9.128e-9,2.1071507662708477e-10
1.7320000000000002e-8,-1.0537022365753046e-10,,1.7320000000000002e-8,4.0710136920526666e-10
3.370400000000001e-8,-2.1651088033536327e-10,,3.370400000000001e-8,7.708901105204598e-10
6.647200000000001e-8,-4.0753921126679414e-10,,6.647200000000001e-8,1.3961220188567138e-9
1.3200800000000003e-7,-6.913171768374582e-10,,1.3200800000000003e-7,2.3249513792086784e-9
2.6308000000000005e-7,-1.009649559513548e-9,,2.6308000000000005e-7,3.366862964252107e-9
5.252240000000001e-7,-1.213777229835955e-9,,5.252240000000001e-7,4.034999014137711e-9
0.0000010495120000000002,-1.2402328808391871e-9,,0.0000010495120000000002,4.121588952797517e-9
0.0000020980880000000004,-1.232148525431853e-9,,0.0000020980880000000004,4.095160546032837e-9
0.000004195240000000001,-1.2369710367110542e-9,,0.000004195240000000001,4.110974762437073e-9
0.000008389544000000002,-1.232990660682276e-9,,0.000008389544000000002,4.098036293158965e-9
0.000016778152000000003,-1.2361765699964166e-9,,0.000016778152000000003,4.108620933832973e-9
0.000033555368000000007,-1.2324272535835234e-9,,0.000033555368000000007,4.0967183413729775e-9
0.00006710980000000001,-1.2345461453122654e-9,,0.00006710980000000001,4.104481452413614e-9
0.00013421866400000002,-1.2292094808685761e-9,,0.00013421866400000002,4.089373518650907e-9
0.00023421866400000002,-1.2283793093814667e-9,,0.00023421866400000002,4.09268873067109e-9
0.000334218664,-1.2197004606306905e-9,,0.000334218664,4.0769094894532735e-9
0.000434218664,-1.2124972625926488e-9,,0.000434218664,4.082256070878088e-9
0.000500001,-1.1975986557999364e-9,,0.000500001,4.070249015208916e-9
0.0005000011000000001,-1.1976557523496467e-9,,0.0005000011000000001,4.069992521354981e-9
0.0005000013,-1.1976743952146762e-9,,0.0005000013,4.0689602408799934e-9
0.0005000017,-1.196990986329638e-9,,0.0005000017,4.063786101837774e-9
0.000500002,-1.1957489753910976e-9,,0.000500002,4.057189104247905e-9
0.00050000208,-1.1952889122923694e-9,,0.00050000208,4.055120987536687e-9
0.0005000022400000001,-1.1943054367691276e-9,,0.0005000022400000001,4.050986977044425e-9
0.0005000025600000001,-1.1920794706909988e-9,,0.0005000025600000001,4.042731886427787e-9
0.0005000032000000001,-1.1872203264928772e-9,,0.0005000032000000001,4.026271402940429e-9
0.0005000044800000001,-1.177241357730452e-9,,0.0005000044800000001,3.99354415516473e-9
0.0005000070400000002,-1.1574980751660747e-9,,0.0005000070400000002,3.9288532384024194e-9
0.0005000121600000002,-1.1189320847648787e-9,,0.0005000121600000002,3.8024665583419326e-9
0.0005000224000000004,-1.045310105141084e-9,,0.0005000224000000004,3.5612186770533905e-9
0.0005000428800000007,-9.111047383214554e-10,,0.0005000428800000007,3.121424590785127e-9
0.0005000838400000014,-6.875501767922288e-10,,0.0005000838400000014,2.3888521380244223e-9
0.0005001657600000027,-3.7492358107016343e-10,,0.0005001657600000027,1.3643761517440067e-9
0.0005003296000000053,-6.295942434064727e-11,,0.0005003296000000053,3.420821436950217e-10
0.0005006572800000104,9.227073771711503e-11,,0.0005006572800000104,-1.6661804018158754e-10
0.0005013126400000207,9.193425576370374e-11,,0.0005013126400000207,-1.655287189483712e-10
0.0005026233600000414,9.204864870326901e-11,,0.0005026233600000414,-1.6594515506451746e-10
0.0005052448000000826,9.193056094147778e-11,,0.0005052448000000826,-1.656250887688282e-10
0.0005104876800001652,9.193592553913278e-11,,0.0005104876800001652,-1.658010393867926e-10
0.0005209734400003303,9.173952264518448e-11,,0.0005209734400003303,-1.6546018367369353e-10
0.0005419449600006605,9.154207614159304e-11,,0.0005419449600006605,-1.654183342469917e-10
0.0005838880000013208,9.096683850629007e-11,,0.0005838880000013208,-1.6472048864346612e-10
0.0006677740800026417,9.001626555260601e-11,,0.0006677740800026417,-1.639310539536254e-10
0.0007677740800026417,8.878697332903584e-11,,0.0007677740800026417,-1.6255959912753193e-10
0.0008677740800026417,8.771055437506448e-11,,0.0008677740800026417,-1.6158899195650723e-10
0.0009677740800026418,8.655065553142549e-11,,0.0009677740800026418,-1.6023266713738327e-10
