X--Trace 1::[transient: TIME],Y--Trace 1::[V_uC: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[V_Base: V(4)],,X--Trace 3::[transient: TIME],Y--Trace 3::[V_Col: V(3)]
0,1.9903026607218626e-9,,0,7.570521604069386e-8,,0,3.2999999981367423
1.0000000000000001e-11,2.016307388833205e-9,,1.0000000000000001e-11,7.570522767306483e-8,,1.0000000000000001e-11,3.2999999981367463
2.0000000000000002e-11,2.0683168450348442e-9,,2.0000000000000002e-11,7.570525593484624e-8,,2.0000000000000002e-11,3.29999999813676
4.0000000000000004e-11,2.224345213576627e-9,,4.0000000000000004e-11,7.570534790333857e-8,,4.0000000000000004e-11,3.299999998136806
8.000000000000001e-11,2.848458686986133e-9,,8.000000000000001e-11,7.570578575536061e-8,,8.000000000000001e-11,3.2999999981370203
1.6000000000000002e-10,5.344912574058119e-9,,1.6000000000000002e-10,7.570824939050546e-8,,1.6000000000000002e-10,3.2999999981384334
3.2000000000000003e-10,1.5330728068808463e-8,,3.2000000000000003e-10,7.572344255241497e-8,,3.2000000000000003e-10,3.2999999981479227
6.400000000000001e-10,5.527398961750184e-8,,6.400000000000001e-10,7.582426197922958e-8,,6.400000000000001e-10,3.299999998207274
1e-9,1.3203994439382425e-7,,1e-9,7.610687020933802e-8,,1e-9,3.299999998354624
1.064e-9,1.486829696388212e-7,,1.064e-9,7.618374755565107e-8,,1.064e-9,3.2999999983916544
1.192e-9,1.819690199564326e-7,,1.192e-9,7.635220101345222e-8,,1.192e-9,3.2999999984700383
1.448e-9,2.4854111955738353e-7,,1.448e-9,7.677504287907831e-8,,1.448e-9,3.2999999986454087
1.96e-9,3.816853146224251e-7,,1.96e-9,7.795150249421714e-8,,1.96e-9,3.29999999902979
2.984e-9,6.479736882068298e-7,,2.984e-9,8.159079879667729e-8,,2.984e-9,3.2999999998287555
5.032e-9,0.0000011805503692067724,,5.032e-9,9.393504661377187e-8,,5.032e-9,3.3000000014190576
9.128e-9,0.000002245703466640157,,9.128e-9,1.385527003693096e-7,,9.128e-9,3.300000004536476
1.7320000000000002e-8,0.0000043760086040878945,,1.7320000000000002e-8,3.049949120352283e-7,,1.7320000000000002e-8,3.300000010537022
3.370400000000001e-8,0.00000863661465570819,,3.370400000000001e-8,9.277135505035939e-7,,3.370400000000001e-8,3.300000021651088
6.647200000000001e-8,0.000017157809911656145,,6.647200000000001e-8,0.0000031965897230890063,,6.647200000000001e-8,3.300000040753921
1.3200800000000003e-7,0.00003420013333019354,,1.3200800000000003e-7,0.000010950619538106757,,1.3200800000000003e-7,3.3000000691317175
2.6308000000000005e-7,0.00006828451338150407,,2.6308000000000005e-7,0.000034615883738983,,2.6308000000000005e-7,3.3000001009649558
5.252240000000001e-7,0.00013645221257772928,,5.252240000000001e-7,0.00009610222243635217,,5.252240000000001e-7,3.300000121377723
0.0000010495120000000002,0.0002727833823200478,,0.0000010495120000000002,0.00023156749279207265,,0.0000010495120000000002,3.300000124023288
0.0000020980880000000004,0.0005454288242439152,,0.0000020980880000000004,0.0005044772187835869,,0.0000020980880000000004,3.3000001232148524
0.000004195240000000001,0.001090652127750216,,0.000004195240000000001,0.0010495423801258452,,0.000004195240000000001,3.3000001236971035
0.000008389544000000002,0.002180828468154205,,0.000008389544000000002,0.0021398481052226155,,0.000008389544000000002,3.300000123299066
0.000016778152000000003,0.004360100529746395,,0.000016778152000000003,0.004319014320408065,,0.000016778152000000003,3.300000123617657
0.000033555368000000007,0.008714325744770619,,0.000033555368000000007,0.008673358561356889,,0.000033555368000000007,3.300000123242725
0.00006710980000000001,0.01740552905476511,,0.00006710980000000001,0.017364484240240972,,0.00006710980000000001,3.3000001234546144
0.00013421866400000002,0.03471917461354595,,0.00013421866400000002,0.03467828087835944,,0.00013421866400000002,3.300000122920948
0.00023421866400000002,0.06034931370926978,,0.00023421866400000002,0.06030838682196307,,0.00023421866400000002,3.3000001228379308
0.000334218664,0.08577827433230938,,0.000334218664,0.08573750523741484,,0.000334218664,3.300000121970046
0.000434218664,0.11100763558940338,,0.000434218664,0.1109668130286946,,0.000434218664,3.300000121249726
0.000500001,0.1274959708306368,,0.000500001,0.1274552683404847,,0.000500001,3.3000001197598654
0.0005000011000000001,0.12749599323018687,,0.0005000011000000001,0.12745529330497332,,0.0005000011000000001,3.300000119765575
0.0005000013,0.12749603282834113,,0.0005000013,0.12745534322593233,,0.0005000013,3.3000001197674393
0.0005000017,0.12749608081897454,,0.0005000017,0.12745544295795616,,0.0005000017,3.3000001196990985
0.000500002,0.1274960895069844,,0.000500002,0.12745551761594193,,0.000500002,3.3000001195748974
0.00050000208,0.12749608870321966,,0.00050000208,0.1274555374933443,,0.00050000208,3.300000119528891
0.0005000022400000001,0.12749608709569019,,0.0005000022400000001,0.12745557722591974,,0.0005000022400000001,3.3000001194305435
0.0005000025600000001,0.12749608388063136,,0.0005000025600000001,0.12745565656176708,,0.0005000025600000001,3.300000119207947
0.0005000032000000001,0.127496077450514,,0.0005000032000000001,0.1274558147364846,,0.0005000032000000001,3.3000001187220325
0.0005000044800000001,0.12749606459028104,,0.0005000044800000001,0.1274561291487294,,0.0005000044800000001,3.3000001177241356
0.0005000070400000002,0.1274960388698216,,0.0005000070400000002,0.12745675033743759,,0.0005000070400000002,3.3000001157498073
0.0005000121600000002,0.12749598742892868,,0.0005000121600000002,0.12745796276334526,,0.0005000121600000002,3.3000001118932083
0.0005000224000000004,0.1274958845472451,,0.0005000224000000004,0.12746027236047455,,0.0005000224000000004,3.3000001045310103
